"LinkID","StationID","Road_Name","Source","x"
1000000301,105000231,"1",0,0
1000000302,105000231,"1",0,0
1000000303,105000231,"1",0,0
1000000401,105000231,"1",0,0
1000000402,105000231,"1",0,0
1000000403,105000231,"1",0,0
1000000501,105000231,"1",0,0
1000000502,105000231,"1",0,0
1000000503,105000231,"1",0,0
1000000601,105000231,"1",0,0
1000000602,105000231,"1",0,0
1000000603,105000231,"1",0,0
1000000701,0,"1",0,0
1000000702,0,"1",0,0
1000000703,0,"1",0,0
1000000801,0,"1",0,0
1000000802,0,"1",0,0
1000000803,0,"1",0,0
1000000901,0,"1",0,0
1000000902,0,"1",0,0
1000000903,0,"1",0,0
1000001001,0,"1",0,0
1000001002,0,"1",0,0
1000001003,0,"1",0,0
1000001101,105000231,"1",0,0
1000001102,105000231,"1",0,0
1000001201,105000231,"1",0,0
1000001202,105000231,"1",0,0
1000001301,105000231,"1",0,0
1000001302,105000231,"1",0,0
1000001303,105000231,"1",0,0
1000001401,105000231,"1",0,0
1000001402,105000231,"1",0,0
1000001403,105000231,"1",0,0
1000001501,105000231,"1",0,0
1000001502,105000231,"1",0,0
1000001503,105000231,"1",0,0
1000001504,105000231,"1",0,0
1000001505,105000231,"1",0,0
1000001601,105000231,"1",0,0
1000001602,105000231,"1",0,0
1000001603,105000231,"1",0,0
1000001604,105000231,"1",0,0
1000001605,105000231,"1",0,0
1000001700,105000231,"1",0,0
1000001801,105000231,"1",0,0
1000001802,105000231,"1",0,0
1000001901,105000231,"1",0,0
1000001902,105000231,"1",0,0
1000002001,105000231,"1",0,0
1000002002,105000231,"1",0,0
1000002003,105000231,"1",0,0
1000002100,105000231,"1",0,0
1000002201,105000231,"1",0,0
1000002301,105000231,"1",0,0
1000002302,105000231,"1",0,0
1000002303,105000231,"1",0,0
1000002401,105000231,"1",0,0
1000002402,105000231,"1",0,0
1000002404,105000231,"1",0,0
1000002501,0,"1",0,0
1000002502,0,"1",0,0
1000002601,0,"1",0,0
1000002602,0,"1",0,0
1000002701,0,"1",0,0
1000002702,0,"1",0,0
1000002801,0,"1",0,0
1000002802,0,"1",0,0
1000002901,0,"1",0,0
1000002902,0,"1",0,0
1000003001,0,"1",0,0
1000003002,0,"1",0,0
1000003101,0,"1",0,0
1000003102,0,"1",0,0
1000003201,0,"1",0,0
1000003202,0,"1",0,0
1000003301,0,"1",0,0
1000003302,0,"1",0,0
1000003400,0,"1",0,0
1000003501,0,"1",0,0
1000003502,0,"1",0,0
1000003503,0,"1",0,0
1000003504,0,"1",0,0
1000003505,0,"1",0,0
1000003506,0,"1",0,0
1000003601,0,"1",0,0
1000003602,0,"1",0,0
1000003603,0,"1",0,0
1000003604,0,"1",0,0
1000003605,0,"1",0,0
1000003606,0,"1",0,0
1000003700,0,"1",0,0
1000003801,0,"1",0,0
1000003802,0,"1",0,0
1000003900,0,"1",0,0
1000004000,0,"1",0,0
1000004101,0,"1",0,0
1000004102,0,"1",0,0
1000004103,0,"1",0,0
1000004201,0,"1",0,0
1000004202,0,"1",0,0
1000004203,0,"1",0,0
1000004300,0,"1",0,0
1000004400,0,"1",0,0
1000004501,0,"1",0,0
1000004502,0,"1",0,0
1000004601,0,"1",0,0
1000004602,0,"1",0,0
1000004701,0,"1",0,0
1000004702,0,"1",0,0
1000004801,0,"1",0,0
1000004802,0,"1",0,0
1000004900,0,"1",0,0
1000005000,0,"1",0,0
1000005101,0,"1",0,0
1000005102,0,"1",0,0
1000005202,0,"1",0,0
1000005203,0,"1",0,0
1000005204,0,"1",0,0
1000005301,0,"1",0,0
1000005302,0,"1",0,0
1000005401,0,"1",0,0
1000005402,0,"1",0,0
1000005501,0,"1",0,0
1000005502,0,"1",0,0
1000005601,0,"1",0,0
1000005602,0,"1",0,0
1000005700,0,"1",0,0
1000005800,0,"1",0,0
1000005900,0,"1",0,0
1000006000,0,"1",0,0
1000006101,0,"1",0,0
1000006102,0,"1",0,0
1000006200,0,"1",0,0
1000006301,0,"1",0,0
1000006302,0,"1",0,0
1000006303,0,"1",0,0
1000006304,0,"1",0,0
1000006401,0,"1",0,0
1000006402,0,"1",0,0
1000006403,0,"1",0,0
1000006404,0,"1",0,0
1000006501,0,"1",0,0
1000006502,0,"1",0,0
1000006601,0,"1",0,0
1000006602,0,"1",0,0
1000006700,0,"1",0,0
1000006800,0,"1",0,0
1000006901,0,"1",0,0
1000006902,0,"1",0,0
1000007001,0,"1",0,0
1000007002,0,"1",0,0
1000007100,0,"1",0,0
1000007200,0,"1",0,0
1000007301,0,"1",0,0
1000007302,0,"1",0,0
1000007401,0,"1",0,0
1000007402,0,"1",0,0
1000007501,0,"1",0,0
1000007502,0,"1",0,0
1000007601,0,"1",0,0
1000007602,0,"1",0,0
1000007701,0,"1",0,0
1000007702,0,"1",0,0
1000007801,0,"1",0,0
1000007802,0,"1",0,0
1000007901,0,"1",0,0
1000007903,0,"1",0,0
1000007904,0,"1",0,0
1000007905,0,"1",0,0
1000007906,0,"1",0,0
1000007907,0,"1",0,0
1000008001,0,"1",0,0
1000008003,0,"1",0,0
1000008004,0,"1",0,0
1000008005,0,"1",0,0
1000008006,0,"1",0,0
1000008007,0,"1",0,0
1000008101,0,"1",0,0
1000008102,0,"1",0,0
1000008103,0,"1",0,0
1000008104,0,"1",0,0
1000008105,0,"1",0,0
1000008201,0,"1",0,0
1000008202,0,"1",0,0
1000008203,0,"1",0,0
1000008204,0,"1",0,0
1000008205,0,"1",0,0
1000008301,0,"1",0,0
1000008302,0,"1",0,0
1000008304,0,"1",0,0
1000008305,0,"1",0,0
1000008306,0,"1",0,0
1000008401,0,"1",0,0
1000008403,0,"1",0,0
